Genus,DE_Tumor_vs_Adjacent,DE_Metastatic_vs_NonMet,RF_TissueType_Rank,RF_TissueType_Importance,RF_Metastasis_Rank,RF_Metastasis_Importance,Hub_Adjacent,Hub_Tumour,Hub_Metastatic,Hub_NonMetastatic,Stabilization_Tag,Evidence_DE_any,Evidence_RF_any,Evidence_Hub_any,ConfidenceScore,Evidence_DE_Tumor_vs_Adjacent,Evidence_DE_Metastatic_vs_NonMet,Evidence_RF_TissueType,Evidence_RF_Metastasis
Pseudomonas,Tumor_up,NonMet_up,,,2.0,10.0596049896991,1,1,1,0,1,1,1,1,3,1,1,0,1
Streptomyces,Tumor_up,NonMet_up,6.0,10.1650563481703,,,1,1,1,0,1,1,1,1,3,1,1,1,0
Legionella,Tumor_up,NA,18.0,4.1810387808564,4.0,5.43117237781875,1,0,1,0,1,1,1,1,3,1,0,1,1
Anoxybacillus,Tumor_up,NonMet_up,,,5.0,4.58197455491161,1,0,1,0,1,1,1,1,3,1,1,0,1
Thermococcus,Tumor_up,NA,3.0,13.0530137223122,9.0,2.06653315176571,1,1,0,0,0,1,1,1,3,1,0,1,1
Clostridioides,Tumor_up,NonMet_up,13.0,6.7311353129378,6.0,4.38340925110317,1,0,0,0,0,1,1,1,3,1,1,1,1
Lactobacillus,NA,Metastatic_up,5.0,10.1998714898056,,,0,0,0,1,0,1,1,1,3,0,1,1,0
Ciceribacter,NA,NonMet_up,17.0,4.49141370578468,12.0,0.814781892854928,0,1,0,0,0,1,1,1,3,0,1,1,1
Chromatium,Tumor_up,NA,,,,,1,1,1,0,1,1,0,1,2,1,0,0,0
Collinsella,Tumor_up,NA,,,,,1,0,0,0,0,1,0,1,2,1,0,0,0
Dorea_A,Adjacent_up,NA,16.0,4.70614910323963,,,0,0,0,0,0,1,1,0,2,1,0,1,0
Emergencia,Adjacent_up,NA,1.0,16.6550028931498,,,0,0,0,0,0,1,1,0,2,1,0,1,0
UBA2212,Adjacent_up,NA,7.0,9.52148378134368,,,0,0,0,0,0,1,1,0,2,1,0,1,0
JADFMN01,NA,NA,9.0,8.51214113998282,,,0,0,1,1,0,0,1,1,2,0,0,1,0
Streptococcus,NA,Metastatic_up,,,,,0,1,1,1,0,1,0,1,2,0,1,0,0
Lysinibacillus,NA,NA,14.0,5.43256467118919,17.0,0.0,0,0,1,1,0,0,1,1,2,0,0,1,1
Spirillospora,NA,NA,4.0,12.0383388443769,13.0,0.594233895198164,1,0,0,1,0,0,1,1,2,0,0,1,1
Prevotella,NA,Metastatic_up,,,14.0,0.400598656161501,0,0,0,0,0,1,1,0,2,0,1,0,1
Epistominella,NA,NonMet_up,,,16.0,0.0,0,0,0,0,0,1,1,0,2,0,1,0,1
Pseudomonas_E,NA,NA,2.0,14.0004666151632,,,0,0,0,1,0,0,1,1,2,0,0,1,0
Roseobacter clade NAC11-7 lineage,NA,NonMet_up,11.0,7.43837281808396,19.0,0.0,0,0,0,0,0,1,1,0,2,0,1,1,1
Stenotrophomonas,NA,Metastatic_up,12.0,7.11116026479422,,,0,0,0,0,0,1,1,0,2,0,1,1,0
Sporolactobacillus,NA,NA,19.0,3.93917700718673,3.0,5.92357173853309,1,0,0,0,0,0,1,1,2,0,0,1,1
Staphylococcus,NA,Metastatic_up,20.0,3.68941890115951,20.0,0.0,0,0,0,0,0,1,1,0,2,0,1,1,1
Renibacterium,NA,NonMet_up,10.0,8.47491064832377,1.0,13.4291226657508,0,0,0,0,0,1,1,0,2,0,1,1,1
Acinetobacter,NA,Metastatic_up,15.0,5.42331560435261,,,0,0,0,0,0,1,1,0,2,0,1,1,0
Vibrio,Adjacent_up,NonMet_up,,,,,0,0,0,0,0,1,0,0,1,1,1,0,0
Muricomes,Adjacent_up,NA,,,,,0,0,0,0,0,1,0,0,1,1,0,0,0
Cutibacterium,Tumor_up,NA,,,,,0,0,0,0,0,1,0,0,1,1,0,0,0
Azonexus,Tumor_up,NA,,,,,0,0,0,0,0,1,0,0,1,1,0,0,0
Veillonella,Adjacent_up,Metastatic_up,,,,,0,0,0,0,0,1,0,0,1,1,1,0,0
Bacillus,NA,NonMet_up,,,,,0,0,0,0,0,1,0,0,1,0,1,0,0
Neisseria,NA,Metastatic_up,,,,,0,0,0,0,0,1,0,0,1,0,1,0,0
Corynebacterium,NA,NonMet_up,,,,,0,0,0,0,0,1,0,0,1,0,1,0,0
Enterobacter,NA,NA,8.0,8.66793984784785,,,0,0,0,0,0,0,1,0,1,0,0,1,0
Microbacterium,NA,NA,,,,,1,0,0,0,0,0,0,1,1,0,0,0,0
Psychrobacter,NA,NA,,,,,0,0,0,1,0,0,0,1,1,0,0,0,0
Flavobacterium,NA,NonMet_up,,,,,0,0,0,0,0,1,0,0,1,0,1,0,0
Methylobacterium-Methylorubrum,NA,NonMet_up,,,,,0,0,0,0,0,1,0,0,1,0,1,0,0
